,rating,review_text
2579,0,Comprei o jogo Gears of War 4 para Xbox one mês passado para presente da loja Games Now e para minha surpresa o jogo não roda por lei alguma.
7128,0,Gostaria de uma entrega mais rápida de acordo com o previsto
4082,3,Só achei o local onde coloca a fruta ou legumes muito pequeno
2550,2,"A qualidade não é das melhores, mas pelo preço vale a pena. Ficou bonito, mas deu um trabalhinho montar."
4926,3,"Produto muito bom, entrega rápida e segura, embalagem perfeita. Sou cliente a bons tempos, nunca tive problemas...Obrigado.."
9058,4,Eficiente no extermínio de formigas com a aplicação correta.
7556,4,"Produto muito bom preço também , custo benefícios bom"
9815,3,"Produto com boa funcionalidade, áudio bem distribuído em ambos os ouvidos e de ótima qualidade de som."
3283,3,Produto muito bom... Aliás entrega foi muito rápido antes do prazo..  recomendo.....
7923,3,"Produto pratico, potente e de fácil utilização. Recomendo que observe sempre os preços pela internet pois costumam ser bem mais barato"
5869,3,"produto de ótima qualidade, eu recomendo e a entrega excelente"
4274,0,"Comprei esse guarda roupa para minha filha e um dos espelhos veio avariado sem contar que veio faltando muito parafuso, tive que comprar pra acabar de montar, to tentando resolver mas ta dificil, provavelmente vou ter que resolver judicialmente... Muito decepcionado."
7264,2,"Horrível. Depois d um mês d espera, nao veio o produto q eu paguei, veio um outro relógio. E ainda nao devolveram meu dinheiro 1.500 reais. Q decepção, loas Americanas!!!"
9204,3,"Gostei bastante do produto e chegou no prazo, com tudo certo, recomendo."
7633,3,"Ótimo produto, leve e rápido, bom para quem necessita de um notebook para realizar atividades cotidianas, além do mais tem um bom custo. Recomendo! Entrega rápida."
1636,4,Prática e de ótima qualidade! Atendimento da loja lcg eletro nota 10! Super recomendo
6566,4,"Gostei do produto, super pratico e chegou dentro do prazo previsto."
6513,3,"Produto muito bom, super recomendo!!! Chegou rápido."
6269,0,Uma porcaria pelo preço que é.............................................
5783,3,Muito bom o esfoliador  Superou minhas espectativas  Super indico
6011,4,"Adorei o produto. Prático e eficiente.  Um pouco barulhento, mas não conheço aspecto ardor silencioso. Muito fácil a limpeza do aparelho, também !!"
3581,0,"ATE AGORA NÃO RECEBI PRODUTO BARBEADOR ERA PARA MEU FILHO, PRESENTE DE NATAL E VOCES MAIS UMA VEZ COM ESTE NEGOCIO DE PARCEIRO,DEIXA CLIENTE NA MÃO."
3489,4,"Foi presente de Natal para meu filho e ele está se divertindo muito, não desgruda!"
8690,4,"Produto de ótima qualidade e entrega sensacional, só levou dois dias, Perfeito!"
9140,3,"Celular muito bom! Excelente custo x benefício. Recomendo a compra. A entrega  foi perfeita, o aparelho chegou antes do prazo previsto."
8676,3,Chegou no prazo e em ótimo estado. O produto atendeu as expectativas. Recomendo.
9254,3,"Produto bem feito, qualidade ótima!!!! Entrega rapida"
8495,3,O disco em sí é excelente. A imagem e o som São muito Bons! Oque me chateou apenas foi a entrega a qual veio com o lacre quebrado deixando o disco solto dentro da capa causando alguns pequenos risco mas está funcionando normalmente! Foi um pequeno emprevisto. A loja é muito boa. Já comprei Aqui diversas vezes e sempre me agrada muito.
1358,3,"Recomendo o produto para todos aqueles que pretendem comprar, agilidade na preparação do produto e na entrega"
6716,1,A camisa do pijama é muito curta o que torna o produto desconfortável.
7611,3,"""Até o momento está tudo ótimo e não tive o que reclamar!   Entrega super rápida!"
5535,0,"Desculpa, mas a câmera frontal de 2 MP do meu moto G era melhor. Que golpe, hen, comprei pela câmera, me ferrei. A bateria não dura nada (ok, isso já dava pra saber com as especificações, mesmo assim fiquei surpresa), e já está travando consideravelmente para um celular de uma semana."
9247,4,"Apesar da demora na entrega e da alteração da data de entrega,o produto é excelente e chegou tudo certinho."
9529,4,"Notebook Excelente, alem de muito bonito tem desempenho muito bom e quase não esquenta!!"
3875,4,"O produto é muito bom, a entrega foi efetuada muito antes do prazo previsto. parabéns!!!"
8608,1,"Gostei do produto, mas às vezes a Maq enxe de água p lavar e demora muito ou não drena a água."
7891,0,Ainda não recebi preciso saber quando será postado pois nem isso foi ainda
2065,2,Gostei do produto . Era o que procurava . Recomendo
3508,4,Produto ótimo custo/benefício. Só demorou um pouco para chegar e veio sem a nota fiscal. Imprimi nota que foi enviado por e-Mail e pronto. Recomendo.
2056,3,produto muito bom atendeu minhas necessidades recomendo a quem entereçar
5552,4,"É uma progressiva tá?! Mas é maravilhosa, usando prancha até 180 graus, tira o volume e dá um brilho excepcional!!! Não deixa chapado."
5952,4,"Ótimo produto, muito potente, excelente qualidade e fora que é linda"
5368,3,Excelente material. Super transparente. Mantém a beleza do aparelho!
